timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 1 2 0.38110804049726393 0.01889195950273609
2 7 8 0.39644342364057567 0.003556576359424357
2 8 9 0.39309194329050584 0.006908056709494181
2 15 16 0.3860695524626066 0.01393044753739342
3 1 2 0.3892741604584503 0.010725839541549709
3 8 9 0.38246175619342015 0.017538243806579867
3 15 16 0.39380901749042385 0.006190982509576171
4 1 2 0.397905354000861 0.002094645999139
4 2 3 0.39887488179126984 0.0011251182087301803
4 8 9 0.3655346682306076 0.03446533176939243
5 1 2 0.39987878519594416 1.2121480405585805E-4
5 2 3 0.399565274464113 4.347255358870261E-4
5 8 9 0.3717365265358733 0.02826347346412672
22 7 9 0.39705475185141537 0.002945248148584656
27 6 8 0.38824533220286656 0.011754667797133467
28 6 8 0.35919256279786826 0.04080743720213176
28 9 19 0.3912292832991615 0.00877071670083851
29 6 8 0.3716858633834451 0.028314136616554908
31 7 19 0.33397024240813644 0.06602975759186358
38 2 8 0.32979331366729336 0.07020668633270666
51 3 17 0.3847265864778699 0.01527341352213013
