timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 44 55 0.3995288847117092 4.7111528829080207E-4
4 6 16 0.39171216337728365 0.008287836622716371
4 84 89 0.38724320322902317 0.012756796770976853
4 84 115 0.39945751711482386 5.424828851761654E-4
4 94 117 0.39521537114044786 0.004784628859552165
4 95 118 0.38463760709001926 0.01536239290998076
4 102 126 0.39359951406818555 0.00640048593181447
5 2 13 0.396481884319138 0.0035181156808620218
6 68 126 0.3923140678025625 0.007685932197437517
7 68 126 0.3923140678025625 0.007685932197437517
8 123 149 0.392029115418171 0.00797088458182904
10 36 65 0.39680636449523266 0.003193635504767367
11 7 17 0.393886826534319 0.006113173465681021
12 65 68 0.3950914249285551 0.004908575071444932
17 3 4 0.39883437552577805 0.0011656244742219712
19 58 127 0.3990893574764352 9.106425235648197E-4
22 35 125 0.3924382589372638 0.007561741062736216
22 60 66 0.3966740923683971 0.003325907631602898
23 111 122 0.3980242558185207 0.001975744181479333
88 26 115 0.39281485693423 0.0071851430657700055
90 93 110 0.3999722550564958 2.7744943504215414E-5
111 22 83 0.3985462950002388 0.0014537049997612184
112 22 83 0.3985462950002388 0.0014537049997612184
123 98 141 0.3939411385427388 0.0060588614572612
133 51 117 0.3960435075804345 0.003956492419565527
149 49 87 0.39681741512819246 0.003182584871807559
150 49 87 0.39681741512819246 0.003182584871807559
155 44 112 0.3950836614990449 0.004916338500955131
161 73 112 0.3966979156861569 0.003302084313843101
180 17 75 0.39427425107337616 0.005725748926623864
183 69 87 0.39455356866395036 0.005446431336049662
184 69 87 0.39455356866395036 0.005446431336049662
186 87 102 0.3955533462516258 0.0044466537483742186
191 27 62 0.3986790888710667 0.0013209111289333442
222 18 89 0.39857419657943927 0.0014258034205607562
223 74 143 0.39332815958428335 0.006671840415716668
224 72 89 0.39505988405030823 0.004940115949691792
224 74 143 0.39332815958428335 0.006671840415716668
225 18 137 0.39001800664724123 0.009981993352758789
225 72 89 0.39505988405030823 0.004940115949691792
232 72 137 0.39400153581988245 0.005998464180117569
261 9 72 0.39783195770653684 0.0021680422934631793
299 19 23 0.39973046359086295 2.695364091370722E-4
321 99 144 0.3958050196137353 0.004194980386264702
330 24 85 0.393075905788878 0.0069240942111220005
362 67 145 0.39388474343217794 0.0061152565678220805
363 67 145 0.39388474343217794 0.0061152565678220805
383 92 137 0.3949184591857585 0.005081540814241503
428 14 90 0.39399356482607506 0.006006435173924962
430 88 112 0.39279330212779623 0.007206697872203793
468 20 112 0.3997645264938505 2.3547350614949725E-4
486 83 113 0.3998781322777623 1.218677222377118E-4
